FLD1,FLD2,z_1 / mole frac.,z_2 / mole frac.,T / K,p / MPa,w / m/s,Uc(w) / %,sigma_T / K,sigma_p / MPa,sigma_w / m s^-1,N_temp,N_echo,bibkey,weight,p / Pa,Ao20,rho(EOS) / mol/m^3
R125,R1234YF,0.33351,0.66649,330.0,5.91,345.155,0.159,0.001,0.0,0.001,3,2,2022 row per 1,1,5910000,-9.509159339533074,10199.644266873363
R125,R1234YF,0.33351,0.66649,330.0,5.932,345.998,0.158,0.001,0.001,0.409,6,4,2022 row per 1,1,5932000,-9.509159339533074,10202.667594613837
R125,R1234YF,0.33351,0.66649,335.004,7.64,354.504,0.142,0.001,0.001,0.012,9,6,2022 row per 1,1,7640000,-9.608417202840148,10181.254062914608
R125,R1234YF,0.33351,0.66649,325.006,2.664,303.739,0.24,0.001,0.0,0.357,9,5,2022 row per 1,1,2664000,-9.40920502885022,9967.009918563796
R125,R1234YF,0.33351,0.66649,325.006,2.663,303.598,0.24,0.001,0.0,0.371,8,5,2022 row per 1,1,2663000,-9.40920502885022,9966.82015556785
R125,R1234YF,0.33351,0.66649,329.998,4.248,314.217,0.208,0.001,0.0,0.003,5,3,2022 row per 1,1,4248000,-9.509119488087222,9943.174882733712
R125,R1234YF,0.33351,0.66649,335.004,5.836,323.611,0.184,0.002,0.0,0.181,7,4,2022 row per 1,1,5836000,-9.608417202840148,9921.351482618622
R125,R1234YF,0.33351,0.66649,329.997,2.987,284.745,0.279,0.001,0.001,0.346,7,4,2022 row per 1,1,2987000,-9.509099562310535,9693.930543237413
R125,R1234YF,0.33351,0.66649,335.003,4.461,295.325,0.239,0.001,0.0,0.23,4,2,2022 row per 1,1,4461000,-9.608397457403466,9671.426932440561
R125,R1234YF,0.33351,0.66649,340.008,5.942,304.738,0.209,0.001,0.0,0.0,2,1,2022 row per 1,1,5942000,-9.706768506884325,9652.16583698371
R125,R1234YF,0.33351,0.66649,345.012,7.446,314.032,0.184,0.0,0.001,0.183,9,6,2022 row per 1,1,7446000,-9.804204474716084,9638.613457104253
R125,R1234YF,0.66643,0.33357,229.999,0.471,687.985,0.046,0.006,0.0,0.002,16,12,2022 row per 1,1,471000,-5.47919228538629,17056.90450390047
R125,R1234YF,0.66643,0.33357,235.01,1.062,668.748,0.047,0.001,0.001,0.037,16,12,2022 row per 1,1,1062000,-5.554904075724115,16877.452208761813
R125,R1234YF,0.66643,0.33357,240.003,1.077,645.732,0.049,0.001,0.001,0.131,16,12,2022 row per 1,1,1077000,-5.630437928218139,16675.162190888666
R125,R1234YF,0.66643,0.33357,245.002,1.089,622.554,0.052,0.001,0.001,0.057,16,12,2022 row per 1,1,1089000,-5.706148019116833,16467.999330579216
R125,R1234YF,0.66643,0.33357,250.004,1.12,599.62,0.055,0.001,0.001,0.027,16,12,2022 row per 1,1,1120000,-5.781979804652628,16256.592787369385
R125,R1234YF,0.66643,0.33357,254.994,3.686,598.441,0.054,0.002,0.002,0.016,16,12,2022 row per 1,1,3686000,-5.857695165695575,16156.773575471889
R125,R1234YF,0.66643,0.33357,259.986,7.231,605.382,0.052,0.001,0.001,0.011,16,12,2022 row per 1,1,7231000,-5.93349435043412,16103.955493022098
R125,R1234YF,0.66643,0.33357,265.002,10.792,612.281,0.049,0.006,0.002,0.008,16,12,2022 row per 1,1,10792000,-6.009698081332696,16054.10425193319
R125,R1234YF,0.66643,0.33357,269.992,14.364,619.268,0.048,0.002,0.002,0.007,16,12,2022 row per 1,1,14364000,-6.085531336236031,16008.835992506512
R125,R1234YF,0.66643,0.33357,274.995,17.942,626.199,0.046,0.001,0.001,0.004,16,12,2022 row per 1,1,17942000,-6.161569572760611,15966.196281576971
R125,R1234YF,0.66643,0.33357,279.999,21.515,633.017,0.044,0.001,0.001,0.008,16,12,2022 row per 1,1,21515000,-6.237611661627989,15926.048945179815
R125,R1234YF,0.66643,0.33357,254.991,3.664,598.249,0.054,0.001,0.002,0.014,16,12,2022 row per 1,1,3664000,-5.85764962810294,16155.923984479774
R125,R1234YF,0.66643,0.33357,254.991,1.737,582.052,0.058,0.002,0.003,0.023,16,12,2022 row per 1,1,1737000,-5.85764962810294,16068.135947049885
R125,R1234YF,0.66643,0.33357,259.985,5.206,589.262,0.055,0.001,0.032,0.255,16,12,2022 row per 1,1,5206000,-5.933479161827304,16013.490640101327
R125,R1234YF,0.66643,0.33357,269.991,12.115,603.109,0.05,0.002,0.002,0.01,16,12,2022 row per 1,1,12115000,-6.08551613785272,15912.186697622916
R125,R1234YF,0.66643,0.33357,259.984,1.506,557.117,0.062,0.001,0.004,0.038,14,10,2022 row per 1,1,1506000,-5.933463973222094,15834.893194584372
R125,R1234YF,0.66643,0.33357,259.984,1.44,556.516,0.063,0.001,0.002,0.015,16,12,2022 row per 1,1,1440000,-5.933463973222094,15831.529245449845
R125,R1234YF,0.66643,0.33357,269.99,7.924,570.418,0.056,0.002,0.003,0.03,16,12,2022 row per 1,1,7924000,-6.085500939469713,15717.17466495908
R125,R1234YF,0.66643,0.33357,274.995,11.247,577.886,0.053,0.001,0.001,0.007,16,12,2022 row per 1,1,11247000,-6.161569572760611,15669.158119095093
R125,R1234YF,0.66643,0.33357,269.991,4.788,543.119,0.063,0.003,0.001,0.009,14,10,2022 row per 1,1,4788000,-6.08551613785272,15555.676435726162
R125,R1234YF,0.66643,0.33357,274.995,7.953,550.802,0.059,0.003,0.001,0.011,16,12,2022 row per 1,1,7953000,-6.161569572760611,15503.17784146726
R125,R1234YF,0.66643,0.33357,279.999,11.132,558.413,0.056,0.001,0.001,0.005,14,10,2022 row per 1,1,11132000,-6.237611661627989,15454.88651673433
R125,R1234YF,0.66643,0.33357,269.99,1.601,511.976,0.073,0.002,0.001,0.01,13,9,2022 row per 1,1,1601000,-6.085500939469713,15374.144367013636
R125,R1234YF,0.66643,0.33357,274.994,4.576,519.802,0.068,0.003,0.001,0.005,14,10,2022 row per 1,1,4576000,-6.161554374713734,15314.866387120925
R125,R1234YF,0.66643,0.33357,279.999,7.586,527.728,0.064,0.001,0.001,0.006,16,12,2022 row per 1,1,7586000,-6.237611661627989,15261.50829987742
R125,R1234YF,0.66643,0.33357,285.001,10.594,535.45,0.06,0.001,0.001,0.005,15,11,2022 row per 1,1,10594000,-6.313591726599047,15211.810071659498
R125,R1234YF,0.66643,0.33357,274.993,1.601,488.694,0.08,0.002,0.001,0.011,15,11,2022 row per 1,1,1601000,-6.161539176666407,15129.237954746754
R125,R1234YF,0.66643,0.33357,279.998,4.428,496.852,0.075,0.003,0.0,0.003,10,7,2022 row per 1,1,4428000,-6.237596467829386,15068.83399417722
R125,R1234YF,0.66643,0.33357,285.001,7.269,504.893,0.069,0.001,0.0,0.002,16,12,2022 row per 1,1,7269000,-6.313591726599047,15013.55444514045
R125,R1234YF,0.66643,0.33357,290.002,10.119,512.754,0.065,0.001,0.001,0.005,14,10,2022 row per 1,1,10119000,-6.389503360853939,14962.780303527024
R125,R1234YF,0.66643,0.33357,279.997,1.521,464.282,0.089,0.003,0.001,0.012,15,11,2022 row per 1,1,1521000,-6.237581274029523,14868.786402176363
R125,R1234YF,0.66643,0.33357,284.999,4.185,472.686,0.082,0.001,0.001,0.005,14,10,2022 row per 1,1,4185000,-6.313561355885352,14806.257138959725
R125,R1234YF,0.66643,0.33357,290.002,6.863,480.905,0.076,0.002,0.001,0.008,16,12,2022 row per 1,1,6863000,-6.389503360853939,14749.077822865494
R125,R1234YF,0.66643,0.33357,294.998,9.551,488.939,0.071,0.001,0.0,0.003,11,7,2022 row per 1,1,9551000,-6.46526320298372,14697.016177549322
R125,R1234YF,0.66643,0.33357,284.998,1.626,441.776,0.099,0.002,0.001,0.013,15,11,2022 row per 1,1,1626000,-6.313546170525318,14611.088054149155
R125,R1234YF,0.66643,0.33357,290.001,4.149,450.518,0.091,0.001,0.001,0.006,13,9,2022 row per 1,1,4149000,-6.38948818838502,14547.116368298728
R125,R1234YF,0.66643,0.33357,294.997,6.686,459.011,0.084,0.002,0.001,0.014,16,12,2022 row per 1,1,6686000,-6.4652480480401735,14489.254095451464
R125,R1234YF,0.66643,0.33357,299.998,9.233,467.241,0.078,0.003,0.0,0.002,12,9,2022 row per 1,1,9233000,-6.540984035761809,14436.195726086973
R125,R1234YF,0.66643,0.33357,290.0,1.51,416.012,0.114,0.002,0.001,0.008,15,11,2022 row per 1,1,1510000,-6.389473015913066,14321.925937009624
R125,R1234YF,0.66643,0.33357,294.995,3.867,425.014,0.103,0.002,0.005,0.057,12,8,2022 row per 1,1,3867000,-6.465217738141125,14254.97344322455
R125,R1234YF,0.66643,0.33357,299.999,6.24,433.687,0.095,0.003,0.0,0.003,15,11,2022 row per 1,1,6240000,-6.540999168333823,14193.993712440892
R125,R1234YF,0.66643,0.33357,304.996,8.625,442.104,0.087,0.002,0.001,0.006,15,11,2022 row per 1,1,8625000,-6.616550467493945,14139.066632836371
R125,R1234YF,0.66643,0.33357,294.995,1.476,390.66,0.131,0.002,0.001,0.019,13,9,2022 row per 1,1,1476000,-6.465217738141125,14023.15807872466
R125,R1234YF,0.66643,0.33357,299.997,3.687,400.09,0.118,0.003,0.001,0.016,13,9,2022 row per 1,1,3687000,-6.540968903184831,13953.409554060408
R125,R1234YF,0.66643,0.33357,304.995,5.916,409.147,0.107,0.003,0.001,0.003,14,10,2022 row per 1,1,5916000,-6.6165353622321925,13891.154662534755
R125,R1234YF,0.66643,0.33357,309.999,8.157,417.849,0.098,0.003,0.0,0.005,16,12,2022 row per 1,1,8157000,-6.6920431556970295,13834.705465472636
R125,R1234YF,0.66643,0.33357,299.997,1.466,364.796,0.154,0.002,0.002,0.02,9,6,2022 row per 1,1,1466000,-6.540968903184831,1442.6365712419465
R125,R1234YF,0.66643,0.33357,304.996,3.547,374.943,0.137,0.001,0.001,0.018,12,8,2022 row per 1,1,3547000,-6.616550467493945,13635.603904767448
R125,R1234YF,0.66643,0.33357,309.999,5.634,384.417,0.123,0.002,0.001,0.013,13,9,2022 row per 1,1,5634000,-6.6920431556970295,13571.257204172003
R125,R1234YF,0.66643,0.33357,314.993,7.728,393.405,0.112,0.001,0.001,0.022,14,10,2022 row per 1,1,7728000,-6.767225671500426,13513.581689272318
R125,R1234YF,0.66643,0.33357,320.003,9.825,401.913,0.102,0.001,0.001,0.012,12,8,2022 row per 1,1,9825000,-6.842448375065187,13460.216008115498
R125,R1234YF,0.66643,0.33357,304.993,1.937,347.124,0.171,0.001,0.001,0.007,4,2,2022 row per 1,1,1937000,-6.616505151690782,13431.793397631789
R125,R1234YF,0.66643,0.33357,309.997,3.889,357.221,0.152,0.003,0.001,0.007,10,6,2022 row per 1,1,3889000,-6.692013009961566,13357.576706248286
R125,R1234YF,0.66643,0.33357,314.989,5.848,366.709,0.136,0.004,0.007,0.083,4,2,2022 row per 1,1,5848000,-6.767165529732972,13291.367495587161
R125,R1234YF,0.66643,0.33357,320.003,7.793,375.307,0.123,0.002,0.001,0.02,13,9,2022 row per 1,1,7793000,-6.842448375065187,13227.859572554224
R125,R1234YF,0.66643,0.33357,325.008,9.761,383.722,0.112,0.001,0.001,0.008,8,5,2022 row per 1,1,9761000,-6.917369677417224,13173.111243446361
R125,R1234YF,0.66643,0.33357,309.995,1.979,321.207,0.207,0.003,0.001,0.025,6,3,2022 row per 1,1,1979000,-6.691982864198164,13078.246857666443
R125,R1234YF,0.66643,0.33357,314.992,3.779,331.713,0.18,0.001,0.001,0.01,4,2,2022 row per 1,1,3779000,-6.7672106360705735,12999.165201068214
R125,R1234YF,0.66643,0.33357,320.003,5.598,341.519,0.16,0.001,0.001,0.0,2,1,2022 row per 1,1,5598000,-6.842448375065187,12929.185003967877
R125,R1234YF,0.66643,0.33357,325.007,7.421,350.691,0.143,0.001,0.001,0.013,9,5,2022 row per 1,1,7421000,-6.91735473241929,12866.70586939367
R125,R1234YF,0.66643,0.33357,314.991,2.245,299.27,0.245,0.001,0.001,0.009,4,2,2022 row per 1,1,2245000,-6.767195600632712,12732.319715651418
R125,R1234YF,0.66643,0.33357,320.003,3.919,310.104,0.211,0.001,0.0,0.0,2,1,2022 row per 1,1,3919000,-6.842448375065187,12648.576981395681
R125,R1234YF,0.66643,0.33357,325.008,5.605,319.711,0.184,0.002,0.001,0.012,4,2,2022 row per 1,1,5605000,-6.917369677417224,12575.646761168735
R125,R1234YF,0.66643,0.33357,330.001,7.308,329.479,0.163,0.001,0.005,0.069,8,5,2022 row per 1,1,7308000,-6.991860617849662,12513.609953128012
R1234YF,R152A,0.33342,0.66658,229.998,0.258,874.022,0.039,0.007,0.0,0.01,16,12,2022 row per 1,1,258000,-7.3482713990527495,13647.900934552634
R1234YF,R152A,0.33342,0.66658,235.012,0.616,852.439,0.039,0.002,0.0,0.111,16,12,2022 row per 1,1,616000,-7.464364053325777,13506.056263526425
R1234YF,R152A,0.33342,0.66658,240.002,0.62,828.737,0.04,0.001,0.001,0.137,16,12,2022 row per 1,1,620000,-7.579117187751477,13351.761130729716
R1234YF,R152A,0.33342,0.66658,245.003,0.629,805.024,0.041,0.001,0.001,0.05,16,12,2022 row per 1,1,629000,-7.693331882126609,13193.994030815998
R1234YF,R152A,0.33342,0.66658,250.005,0.639,781.388,0.043,0.001,0.001,0.05,16,12,2022 row per 1,1,639000,-7.806772567356475,13032.640191398596
R1234YF,R152A,0.33342,0.66658,254.994,0.648,757.803,0.044,0.001,0.001,0.035,16,12,2022 row per 1,1,648000,-7.919121796332889,12867.739915008038
R1234YF,R152A,0.33342,0.66658,259.987,0.663,734.271,0.046,0.001,0.001,0.002,16,12,2022 row per 1,1,663000,-8.030762482828013,12698.622614290789
R1234YF,R152A,0.33342,0.66658,269.991,3.305,709.636,0.048,0.002,0.002,0.011,16,12,2022 row per 1,1,3305000,-8.252034272859083,12472.173666103216
R1234YF,R152A,0.33342,0.66658,269.991,3.29,709.455,0.048,0.003,0.001,0.011,16,12,2022 row per 1,1,3290000,-8.252034272859083,12471.477204292574
R1234YF,R152A,0.33342,0.66658,274.995,6.843,716.193,0.047,0.003,0.001,0.008,16,12,2022 row per 1,1,6843000,-8.361501977308698,12463.91730119342
R1234YF,R152A,0.33342,0.66658,279.999,10.5,723.651,0.045,0.002,0.011,0.096,16,12,2022 row per 1,1,10500000,-8.470156664574873,12461.186710609158
R1234YF,R152A,0.33342,0.66658,285.0,14.099,730.667,0.044,0.001,0.003,0.025,16,12,2022 row per 1,1,14099000,-8.577929481686528,12456.32021729268
R1234YF,R152A,0.33342,0.66658,269.99,1.083,690.611,0.05,0.003,0.002,0.017,16,12,2022 row per 1,1,1083000,-8.252012315818403,12364.680410373996
R1234YF,R152A,0.33342,0.66658,274.993,4.553,697.561,0.049,0.003,0.003,0.025,16,12,2022 row per 1,1,4553000,-8.361458387370467,12358.415053631014
R1234YF,R152A,0.33342,0.66658,279.998,8.034,704.542,0.047,0.001,0.001,0.01,16,12,2022 row per 1,1,8034000,-8.470135032510075,12352.797875488988
R1234YF,R152A,0.33342,0.66658,285.0,11.524,711.55,0.046,0.001,0.001,0.007,16,12,2022 row per 1,1,11524000,-8.577929481686528,12347.964774333937
R1234YF,R152A,0.33342,0.66658,274.992,1.087,667.006,0.053,0.001,0.005,0.051,16,12,2022 row per 1,1,1087000,-8.361436592352655,12180.26688648487
R1234YF,R152A,0.33342,0.66658,279.997,4.427,674.273,0.051,0.001,0.002,0.013,16,12,2022 row per 1,1,4427000,-8.470113400412634,12176.695509069901
R1234YF,R152A,0.33342,0.66658,284.999,7.776,681.551,0.05,0.001,0.001,0.008,16,12,2022 row per 1,1,7776000,-8.577908013389662,12173.59729901137
R1234YF,R152A,0.33342,0.66658,290.002,11.132,688.792,0.048,0.001,0.001,0.007,16,12,2022 row per 1,1,11132000,-8.684901783566103,12170.849423459911
R1234YF,R152A,0.33342,0.66658,279.997,1.131,643.604,0.057,0.001,0.002,0.017,16,12,2022 row per 1,1,1131000,-8.470113400412634,11991.452514523815
R1234YF,R152A,0.33342,0.66658,284.999,4.339,651.207,0.054,0.0,0.0,0.002,16,12,2022 row per 1,1,4339000,-8.577908013389662,11990.884048930004
R1234YF,R152A,0.33342,0.66658,290.002,7.563,658.797,0.052,0.001,0.004,0.038,16,12,2022 row per 1,1,7563000,-8.684901783566103,11990.717236969776
R1234YF,R152A,0.33342,0.66658,294.998,10.784,666.263,0.05,0.001,0.001,0.012,16,12,2022 row per 1,1,10784000,-8.790918912867207,11990.366418109448
R1234YF,R152A,0.33342,0.66658,284.998,1.054,618.934,0.061,0.0,0.001,0.01,16,12,2022 row per 1,1,1054000,-8.577886545059943,11787.481432324044
R1234YF,R152A,0.33342,0.66658,290.001,4.12,626.788,0.058,0.001,0.001,0.007,16,12,2022 row per 1,1,4120000,-8.684880480224852,11790.065038978406
R1234YF,R152A,0.33342,0.66658,294.998,7.188,634.509,0.056,0.001,0.001,0.002,16,12,2022 row per 1,1,7188000,-8.790918912867207,11792.12107062797
R1234YF,R152A,0.33342,0.66658,299.998,10.264,642.127,0.053,0.002,0.0,0.004,16,12,2022 row per 1,1,10264000,-8.89618658175342,11793.973895820143
R1234YF,R152A,0.33342,0.66658,289.999,1.178,596.185,0.065,0.001,0.001,0.007,16,12,2022 row per 1,1,1178000,-8.684837873443042,11588.479168929089
R1234YF,R152A,0.33342,0.66658,294.996,4.113,604.323,0.062,0.002,0.001,0.004,9,6,2022 row per 1,1,4113000,-8.790876638307155,11594.837081131565
R1234YF,R152A,0.33342,0.66658,299.998,7.056,612.293,0.059,0.001,0.003,0.02,16,12,2022 row per 1,1,7056000,-8.89618658175342,11600.112919770741
R1234YF,R152A,0.33342,0.66658,304.996,9.987,619.958,0.057,0.001,0.001,0.005,16,12,2022 row per 1,1,9987000,-9.000570283199663,11603.81815688695
R1234YF,R152A,0.33342,0.66658,294.995,1.011,569.998,0.072,0.001,0.004,0.05,16,12,2022 row per 1,1,1011000,-8.790855500977052,1988.1208535069945
R1234YF,R152A,0.33342,0.66658,299.997,3.806,578.424,0.068,0.002,0.001,0.007,10,7,2022 row per 1,1,3806000,-8.896165612172481,11368.25878944755
R1234YF,R152A,0.33342,0.66658,304.997,6.615,586.737,0.064,0.001,0.001,0.008,14,10,2022 row per 1,1,6615000,-9.000591083531084,11378.480193832173
R1234YF,R152A,0.33342,0.66658,309.999,9.429,594.834,0.061,0.001,0.002,0.015,16,12,2022 row per 1,1,9429000,-9.104207170756155,11387.251012814575
R1234YF,R152A,0.33342,0.66658,299.996,1.209,547.743,0.078,0.001,0.0,0.002,16,12,2022 row per 1,1,1209000,-8.896144642557847,11143.83072089251
R1234YF,R152A,0.33342,0.66658,304.996,3.847,556.1,0.073,0.002,0.002,0.029,14,10,2022 row per 1,1,3847000,-9.000570283199663,11157.637309742882
R1234YF,R152A,0.33342,0.66658,309.998,6.521,564.519,0.069,0.001,0.003,0.027,12,8,2022 row per 1,1,6521000,-9.104186541482257,11171.435121163286
R1234YF,R152A,0.33342,0.66658,314.993,9.198,572.718,0.065,0.001,0.001,0.007,16,12,2022 row per 1,1,9198000,-9.206799537401508,11183.401127388332
R1234YF,R152A,0.33342,0.66658,304.994,1.263,523.555,0.086,0.001,0.001,0.009,13,9,2022 row per 1,1,1263000,-9.000528682434748,1430.280620698999
R1234YF,R152A,0.33342,0.66658,309.998,3.817,532.716,0.08,0.001,0.001,0.011,15,11,2022 row per 1,1,3817000,-9.104186541482257,10929.925644409677
R1234YF,R152A,0.33342,0.66658,314.994,6.372,541.493,0.075,0.001,0.001,0.014,10,7,2022 row per 1,1,6372000,-9.206819994075959,10950.242194398765
R1234YF,R152A,0.33342,0.66658,320.003,8.94,550.036,0.07,0.001,0.002,0.021,16,12,2022 row per 1,1,8940000,-9.308850072630399,10967.672874018763
R1234YF,R152A,0.33342,0.66658,309.997,1.356,499.494,0.096,0.001,0.001,0.019,11,8,2022 row per 1,1,1356000,-9.104165912173986,953.7701444156451
R1234YF,R152A,0.33342,0.66658,314.993,3.833,509.646,0.088,0.001,0.003,0.046,14,10,2022 row per 1,1,3833000,-9.206799537401508,10694.045869457235
R1234YF,R152A,0.33342,0.66658,320.003,6.276,518.789,0.082,0.0,0.001,0.008,12,8,2022 row per 1,1,6276000,-9.308850072630399,10721.665503754724
R1234YF,R152A,0.33342,0.66658,325.009,8.703,527.343,0.076,0.001,0.001,0.005,16,12,2022 row per 1,1,8703000,-9.409938983097815,10743.056747462602
R1234YF,R152A,0.33342,0.66658,314.991,1.651,478.24,0.106,0.001,0.0,0.005,9,6,2022 row per 1,1,1651000,-9.206758623948392,2406.7343469973284
R1234YF,R152A,0.33342,0.66658,320.002,3.967,487.98,0.097,0.002,0.001,0.017,14,10,2022 row per 1,1,3967000,-9.308829790877905,10457.516584637147
R1234YF,R152A,0.33342,0.66658,325.008,6.266,497.027,0.089,0.001,0.007,0.07,11,7,2022 row per 1,1,6266000,-9.409918878026582,10489.98728119115
R1234YF,R152A,0.33342,0.66658,329.999,8.556,505.584,0.083,0.001,0.001,0.006,16,12,2022 row per 1,1,8556000,-9.509819930986122,10516.121336430682
R1234YF,R152A,0.33342,0.66658,320.003,1.697,452.761,0.12,0.002,0.001,0.018,12,8,2022 row per 1,1,1697000,-9.308850072630399,1029.6194228589432
R1234YF,R152A,0.33342,0.66658,325.007,3.876,462.803,0.109,0.002,0.002,0.034,15,11,2022 row per 1,1,3876000,-9.40989877291987,10173.035146106517
R1234YF,R152A,0.33342,0.66658,329.999,6.042,472.1,0.1,0.001,0.002,0.025,13,9,2022 row per 1,1,6042000,-9.509819930986122,10217.285167208262
R1234YF,R152A,0.33342,0.66658,335.004,8.198,480.749,0.093,0.001,0.002,0.03,15,11,2022 row per 1,1,8198000,-9.60910444703931,10250.754877209733
R1234YF,R152A,0.33342,0.66658,325.007,1.969,430.729,0.135,0.001,0.001,0.004,9,5,2022 row per 1,1,1969000,-9.40989877291987,1518.5777869495817
R1234YF,R152A,0.33342,0.66658,329.999,4.027,441.046,0.122,0.001,0.001,0.007,15,11,2022 row per 1,1,4027000,-9.509819930986122,9903.365314238421
R1234YF,R152A,0.33342,0.66658,335.003,6.081,450.54,0.111,0.002,0.001,0.01,9,6,2022 row per 1,1,6081000,-9.609084700275055,9960.001934212474
R1234YF,R152A,0.33342,0.66658,340.008,8.146,459.648,0.102,0.002,0.0,0.004,16,12,2022 row per 1,1,8146000,-9.70746231310039,10005.644947815355
R1234YF,R152A,0.33342,0.66658,329.997,2.042,404.69,0.158,0.001,0.0,0.003,7,5,2022 row per 1,1,2042000,-9.509780076747175,1097.979842752684
R1234YF,R152A,0.33342,0.66658,335.002,3.952,415.024,0.141,0.001,0.001,0.03,14,10,2022 row per 1,1,3952000,-9.60906495347459,9560.400346108621
R1234YF,R152A,0.33342,0.66658,340.006,5.886,424.928,0.127,0.001,0.002,0.024,9,6,2022 row per 1,1,5886000,-9.70742318371047,9641.29619556402
R1234YF,R152A,0.33342,0.66658,345.012,7.83,434.385,0.116,0.001,0.002,0.023,11,7,2022 row per 1,1,7830000,-9.804904683393882,9703.27184818093
R1234YF,R152A,0.33342,0.66658,335.0,2.091,377.023,0.189,0.001,0.001,0.016,8,5,2022 row per 1,1,2091000,-9.609025459765023,1081.7223764884866
R1234YF,R152A,0.33342,0.66658,340.007,3.904,388.492,0.166,0.002,0.0,0.004,8,5,2022 row per 1,1,3904000,-9.707442748423711,9168.087087124388
R1234YF,R152A,0.33342,0.66658,345.013,5.729,399.141,0.147,0.0,0.0,0.004,4,2,2022 row per 1,1,5729000,-9.804924064229132,9289.844874292357
R1234YF,R152A,0.33342,0.66658,340.007,2.413,354.814,0.22,0.006,0.0,0.005,7,4,2022 row per 1,1,2413000,-9.707442748423711,1305.0931261208173
R1234YF,R152A,0.33342,0.66658,345.013,4.107,366.511,0.19,0.0,0.0,0.005,8,5,2022 row per 1,1,4107000,-9.804924064229132,8794.193256241966
R1234YF,R152A,0.66526,0.33474,229.996,0.135,800.243,0.043,0.007,0.009,0.072,16,12,2022 row per 1,1,135000,-5.485713821441678,17030.543391145788
R1234YF,R152A,0.66526,0.33474,235.011,0.631,780.26,0.041,0.001,0.001,0.005,16,12,2022 row per 1,1,631000,-5.561627772335405,16847.0702536327
R1234YF,R152A,0.66526,0.33474,240.002,0.648,757.434,0.042,0.001,0.002,0.137,16,12,2022 row per 1,1,648000,-5.6372693499249245,16644.06982493055
R1234YF,R152A,0.66526,0.33474,245.002,0.654,734.423,0.044,0.001,0.001,0.097,16,12,2022 row per 1,1,654000,-5.713129726848915,16435.632285071224
R1234YF,R152A,0.66526,0.33474,250.004,0.671,711.496,0.046,0.001,0.0,0.015,16,12,2022 row per 1,1,671000,-5.789093648354862,16222.466127239255
R1234YF,R152A,0.66526,0.33474,254.994,0.67,688.76,0.048,0.001,0.001,0.041,16,12,2022 row per 1,1,670000,-5.864937798522955,16003.372332042747
R1234YF,R152A,0.66526,0.33474,259.987,3.819,691.328,0.047,0.002,0.004,0.041,16,12,2022 row per 1,1,3819000,-5.940878044325353,15934.744073297668
R1234YF,R152A,0.66526,0.33474,259.985,0.833,667.241,0.05,0.002,0.002,0.015,16,12,2022 row per 1,1,833000,-5.940847617284841,15786.444889826342
R1234YF,R152A,0.66526,0.33474,274.995,11.612,688.914,0.046,0.003,0.004,0.032,16,12,2022 row per 1,1,11612000,-6.169298832882893,15673.23389424304
R1234YF,R152A,0.66526,0.33474,274.995,6.857,652.375,0.05,0.001,0.001,0.009,16,12,2022 row per 1,1,6857000,-6.169298832882893,15431.042373105194
R1234YF,R152A,0.66526,0.33474,279.999,10.264,659.736,0.049,0.001,0.001,0.003,16,12,2022 row per 1,1,10264000,-6.245455503114575,15396.345824413007
R1234YF,R152A,0.66526,0.33474,269.99,3.405,644.512,0.052,0.003,0.001,0.008,16,12,2022 row per 1,1,3405000,-6.0931127778839596,15465.98483776754
R1234YF,R152A,0.66526,0.33474,269.991,1.171,624.611,0.056,0.002,0.001,0.007,16,12,2022 row per 1,1,1171000,-6.093128000012888,15334.674619716148
R1234YF,R152A,0.66526,0.33474,274.994,4.478,632.302,0.054,0.002,0.001,0.004,16,12,2022 row per 1,1,4478000,-6.169283611658393,15295.909382177742
R1234YF,R152A,0.66526,0.33474,279.999,7.793,639.911,0.051,0.001,0.001,0.006,16,12,2022 row per 1,1,7793000,-6.245455503114575,15260.367338482973
R1234YF,R152A,0.66526,0.33474,285.0,11.12,647.51,0.05,0.002,0.003,0.025,16,12,2022 row per 1,1,11120000,-6.3215321369920945,15228.330111297892
R1234YF,R152A,0.66526,0.33474,274.992,1.269,602.801,0.059,0.002,0.0,0.004,16,12,2022 row per 1,1,1269000,-6.169253169207713,15094.118663396777
R1234YF,R152A,0.66526,0.33474,279.999,4.441,610.737,0.057,0.002,0.001,0.007,16,12,2022 row per 1,1,4441000,-6.245455503114575,15056.717557670712
R1234YF,R152A,0.66526,0.33474,285.0,7.628,618.622,0.054,0.001,0.001,0.004,16,12,2022 row per 1,1,7628000,-6.3215321369920945,15023.361141629024
R1234YF,R152A,0.66526,0.33474,290.002,10.799,626.233,0.052,0.001,0.001,0.007,16,12,2022 row per 1,1,10799000,-6.397568032048718,14991.577320875285
R1234YF,R152A,0.66526,0.33474,279.997,1.047,577.691,0.064,0.001,0.0,0.003,16,12,2022 row per 1,1,1047000,-6.245425070275486,14820.816997126618
R1234YF,R152A,0.66526,0.33474,284.999,4.067,585.907,0.061,0.001,0.001,0.007,15,11,2022 row per 1,1,4067000,-6.321516929559657,14785.144255114405
R1234YF,R152A,0.66526,0.33474,290.002,7.093,593.954,0.058,0.001,0.0,0.003,16,12,2022 row per 1,1,7093000,-6.397568032048718,14752.601965926571
