FLD1,FLD2,z_1 / mole frac.,z_2 / mole frac.,T / K,p / MPa,w / m/s,Uc(w) / %,sigma_T / K,sigma_p / MPa,sigma_w / m s^-1,N_temp,N_echo,bibkey,weight,p / Pa,Ao20,rho(EOS) / mol/m^3
R32,R1234YF,0.67205,0.32795,320.004,9.318,471.814,0.092,0.002,0.0,0.003,9,6,2022 row per 0,1,9318000,-6.800839370732453,13457.471972287944
R32,R1234YF,0.67205,0.32795,314.993,2.349,382.51,0.187,0.001,0.001,0.017,10,7,2022 row per 0,1,2349000,-6.726054520104479,12802.079949156805
R32,R1234YF,0.67205,0.32795,320.003,4.437,394.594,0.159,0.002,0.0,0.009,13,9,2022 row per 0,1,4437000,-6.80082446725366,12790.739783551304
R32,R1234YF,0.67205,0.32795,325.009,6.537,405.731,0.138,0.001,0.001,0.009,11,7,2022 row per 0,1,6537000,-6.875319352572095,12780.83262528463
R32,R1234YF,0.67205,0.32795,330.001,8.642,416.062,0.122,0.002,0.001,0.021,14,10,2022 row per 0,1,8642000,-6.949365932044899,12772.33895612742
R32,R1234ZEE,0.33512,0.66488,229.999,0.729,855.632,0.038,0.005,0.0,0.005,16,12,2022 row per 0,4,729000,-7.338752953441989,13675.143459642135
R32,R1234ZEE,0.33512,0.66488,235.008,0.822,832.21,0.039,0.003,0.005,0.008,16,12,2022 row per 0,4,822000,-7.454524367730532,13526.024816291034
R32,R1234ZEE,0.33512,0.66488,240.002,0.89,808.797,0.04,0.002,0.001,0.014,16,12,2022 row per 0,4,890000,-7.569169196779005,13373.888235881781
R32,R1234ZEE,0.33512,0.66488,245.004,0.903,785.053,0.041,0.001,0.001,0.014,16,12,2022 row per 0,1,903000,-7.683210201633378,13216.623824659293
R32,R1234ZEE,0.33512,0.66488,250.004,0.944,761.518,0.042,0.001,0.002,0.041,16,12,2022 row per 0,1,944000,-7.796413614043279,13056.952939001063
R32,R1234ZEE,0.33512,0.66488,254.994,2.281,747.196,0.043,0.001,0.002,0.007,16,12,2022 row per 0,1,2281000,-7.908598312737552,12944.555140962524
R32,R1234ZEE,0.33512,0.66488,259.986,6.695,754.216,0.042,0.002,0.001,0.007,16,12,2022 row per 0,1,6695000,-8.020033864504253,12950.27547092531
R32,R1234ZEE,0.33512,0.66488,264.995,11.03,760.664,0.041,0.001,0.004,0.026,16,12,2022 row per 0,1,11030000,-8.131048573778171,12951.991533461889
R32,R1234ZEE,0.33512,0.66488,269.992,15.206,766.32,0.04,0.0,0.002,0.01,16,12,2022 row per 0,1,15206000,-8.240996224704913,12948.527378214545
R32,R1234ZEE,0.33512,0.66488,274.995,19.606,773.233,0.039,0.0,0.001,0.007,16,12,2022 row per 0,1,19606000,-8.350271428413075,12952.343502654741
R32,R1234ZEE,0.33512,0.66488,279.999,23.977,779.964,0.039,0.001,0.001,0.008,16,12,2022 row per 0,1,23977000,-8.458759629936246,12955.03880728077
R32,R1234ZEE,0.33512,0.66488,285.001,28.322,786.577,0.038,0.001,0.001,0.006,16,12,2022 row per 0,1,28322000,-8.566391505250085,12956.96974461358
R32,R1234ZEE,0.33512,0.66488,290.002,32.647,793.074,0.037,0.001,0.001,0.007,16,12,2022 row per 0,1,32647000,-8.673183885248903,12958.415006192181
R32,R1234ZEE,0.33512,0.66488,294.997,36.922,799.332,0.037,0.001,0.001,0.007,16,12,2022 row per 0,1,36922000,-8.779025445833424,12958.754387200526
R32,R1234ZEE,0.33512,0.66488,299.998,41.163,805.409,0.037,0.001,0.001,0.004,16,12,2022 row per 0,1,41163000,-8.884163386269245,12958.2772945456
R32,R1234ZEE,0.33512,0.66488,304.997,45.374,811.363,0.036,0.001,0.002,0.005,16,12,2022 row per 0,1,45374000,-8.98842074820083,12957.360700281528
R32,R1234ZEE,0.33512,0.66488,309.999,49.585,817.304,0.036,0.001,0.003,0.019,16,12,2022 row per 0,1,49585000,-9.091893189717746,12956.70780544409
R32,R1234ZEE,0.33512,0.66488,254.99,1.326,740.644,0.044,0.001,0.001,0.008,16,12,2022 row per 0,1,1326000,-7.908508702697184,12907.570409835213
R32,R1234ZEE,0.33512,0.66488,259.984,5.687,747.623,0.042,0.001,0.001,0.004,16,12,2022 row per 0,1,5687000,-8.019989378155367,12913.209331017366
R32,R1234ZEE,0.33512,0.66488,264.993,10.027,754.368,0.041,0.002,0.002,0.014,16,12,2022 row per 0,1,10027000,-8.131004407956844,12916.840637118268
R32,R1234ZEE,0.33512,0.66488,269.99,14.387,761.298,0.04,0.002,0.001,0.004,16,12,2022 row per 0,1,14387000,-8.240952379660952,12921.056023537467
R32,R1234ZEE,0.33512,0.66488,274.993,18.727,768.083,0.04,0.001,0.001,0.008,16,12,2022 row per 0,1,18727000,-8.350227905828781,12924.098276595409
R32,R1234ZEE,0.33512,0.66488,279.998,23.057,774.792,0.039,0.001,0.001,0.005,16,12,2022 row per 0,1,23057000,-8.458738030738486,12926.614506823713
R32,R1234ZEE,0.33512,0.66488,285.0,27.359,781.356,0.038,0.001,0.003,0.013,16,12,2022 row per 0,1,27359000,-8.56637006906002,12928.319311359157
R32,R1234ZEE,0.33512,0.66488,290.001,31.625,787.722,0.038,0.001,0.003,0.014,16,12,2022 row per 0,1,31625000,-8.673162613205461,12929.071409241718
R32,R1234ZEE,0.33512,0.66488,294.997,35.869,793.977,0.037,0.001,0.006,0.015,16,12,2022 row per 0,1,35869000,-8.779025445833424,12929.495170431446
R32,R1234ZEE,0.33512,0.66488,299.998,40.103,800.174,0.037,0.001,0.001,0.004,16,12,2022 row per 0,1,40103000,-8.884163386269245,12929.749782995244
R32,R1234ZEE,0.33512,0.66488,304.997,44.287,806.151,0.036,0.001,0.002,0.01,16,12,2022 row per 0,1,44287000,-8.98842074820083,12928.97854490383
R32,R1234ZEE,0.33512,0.66488,309.999,48.432,811.955,0.036,0.001,0.002,0.013,16,12,2022 row per 0,1,48432000,-9.091893189717746,12927.462922620474
R32,R1234ZEE,0.33512,0.66488,314.994,52.534,817.598,0.036,0.001,0.002,0.013,16,12,2022 row per 0,1,52534000,-9.194366059394836,12925.387003052818
R32,R1234ZEE,0.33512,0.66488,259.982,1.539,718.551,0.045,0.001,0.001,0.006,16,12,2022 row per 0,1,1539000,-8.019944891678678,12748.774871329208
R32,R1234ZEE,0.33512,0.66488,264.992,5.639,725.023,0.044,0.001,0.002,0.003,16,12,2022 row per 0,1,5639000,-8.130982324998115,12751.55783652886
R32,R1234ZEE,0.33512,0.66488,269.989,9.84,732.197,0.043,0.001,0.002,0.012,16,12,2022 row per 0,1,9840000,-8.240930457090734,12758.019923000087
R32,R1234ZEE,0.33512,0.66488,274.993,14.051,739.376,0.042,0.001,0.002,0.017,16,12,2022 row per 0,1,14051000,-8.350227905828781,12763.91303381038
R32,R1234ZEE,0.33512,0.66488,279.998,18.245,746.414,0.041,0.001,0.002,0.012,16,12,2022 row per 0,1,18245000,-8.458738030738486,12768.667407300722
R32,R1234ZEE,0.33512,0.66488,284.999,22.415,753.285,0.04,0.001,0.001,0.004,16,12,2022 row per 0,1,22415000,-8.566348632837256,12772.420409395063
R32,R1234ZEE,0.33512,0.66488,290.001,26.551,759.928,0.039,0.001,0.001,0.006,16,12,2022 row per 0,1,26551000,-8.673162613205461,12774.912317855398
R32,R1234ZEE,0.33512,0.66488,294.997,30.662,766.439,0.038,0.001,0.001,0.007,16,12,2022 row per 0,1,30662000,-8.779025445833424,12776.787334993838
R32,R1234ZEE,0.33512,0.66488,299.999,34.755,772.817,0.038,0.001,0.004,0.016,16,12,2022 row per 0,1,34755000,-8.884184326019016,12778.07052814727
R32,R1234ZEE,0.33512,0.66488,304.996,38.832,779.12,0.037,0.002,0.002,0.009,16,12,2022 row per 0,1,38832000,-8.988399976942494,12779.165711091367
R32,R1234ZEE,0.33512,0.66488,309.998,42.867,785.184,0.037,0.001,0.001,0.006,16,12,2022 row per 0,1,42867000,-9.091872588809052,12779.168038506243
R32,R1234ZEE,0.33512,0.66488,314.994,46.864,791.089,0.037,0.001,0.001,0.004,16,12,2022 row per 0,1,46864000,-9.194366059394836,12778.541425554213
R32,R1234ZEE,0.33512,0.66488,320.003,50.857,796.939,0.036,0.001,0.001,0.003,16,12,2022 row per 0,1,50857000,-9.296259210836878,12777.844351109276
R32,R1234ZEE,0.33512,0.66488,264.991,1.351,693.403,0.048,0.003,0.002,0.012,16,12,2022 row per 0,1,1351000,-8.130960242007346,12567.867692265694
R32,R1234ZEE,0.33512,0.66488,259.981,0.786,712.991,0.046,0.002,0.021,0.163,16,12,2022 row per 0,1,786000,-8.019922648392408,12716.616224820698
R32,R1234ZEE,0.33512,0.66488,264.992,1.328,693.216,0.048,0.003,0.002,0.01,16,12,2022 row per 0,1,1328000,-8.130982324998115,12566.773980061538
R32,R1234ZEE,0.33512,0.66488,269.989,5.366,700.772,0.046,0.001,0.002,0.01,16,12,2022 row per 0,1,5366000,-8.240930457090734,12576.76973458068
R32,R1234ZEE,0.33512,0.66488,274.993,9.407,708.242,0.044,0.001,0.001,0.004,16,12,2022 row per 0,1,9407000,-8.350227905828781,12585.304772274281
R32,R1234ZEE,0.33512,0.66488,279.998,13.444,715.612,0.043,0.001,0.002,0.015,16,12,2022 row per 0,1,13444000,-8.458738030738486,12592.680382955612
R32,R1234ZEE,0.33512,0.66488,284.998,17.466,722.818,0.042,0.001,0.001,0.006,16,12,2022 row per 0,1,17466000,-8.566327196581792,12598.951493225997
R32,R1234ZEE,0.33512,0.66488,290.001,21.478,729.897,0.041,0.001,0.001,0.005,16,12,2022 row per 0,1,21478000,-8.673162613205461,12604.318228066006
R32,R1234ZEE,0.33512,0.66488,294.996,25.46,736.774,0.04,0.001,0.001,0.006,16,12,2022 row per 0,1,25460000,-8.779004339076307,12608.573485902145
R32,R1234ZEE,0.33512,0.66488,299.999,29.475,743.73,0.04,0.002,0.015,0.083,16,12,2022 row per 0,1,29475000,-8.884184326019016,12613.562590803489
R32,R1234ZEE,0.33512,0.66488,304.995,33.439,750.458,0.039,0.001,0.006,0.019,16,12,2022 row per 0,1,33439000,-8.988379205650281,12616.961985803642
R32,R1234ZEE,0.33512,0.66488,309.999,37.348,756.8,0.038,0.001,0.002,0.01,16,12,2022 row per 0,1,37348000,-9.091893189717746,12618.497157670527
R32,R1234ZEE,0.33512,0.66488,314.993,41.231,762.995,0.038,0.002,0.004,0.016,16,12,2022 row per 0,1,41231000,-9.194345630395617,12619.642149007135
R32,R1234ZEE,0.33512,0.66488,320.004,45.09,769.005,0.037,0.001,0.005,0.018,16,12,2022 row per 0,1,45090000,-9.296279465554282,12619.914877715146
R32,R1234ZEE,0.33512,0.66488,325.009,48.928,774.918,0.037,0.001,0.001,0.005,16,12,2022 row per 0,1,48928000,-9.3972146132195,12619.981570942708
R32,R1234ZEE,0.33512,0.66488,269.987,1.384,669.87,0.05,0.003,0.003,0.028,16,12,2022 row per 0,1,1384000,-8.240886611853833,12391.869332684559
R32,R1234ZEE,0.33512,0.66488,274.991,5.25,677.589,0.048,0.001,0.003,0.026,16,12,2022 row per 0,1,5250000,-8.35018438311528,12403.447830883335
R32,R1234ZEE,0.33512,0.66488,279.997,9.103,685.086,0.046,0.002,0.003,0.024,16,12,2022 row per 0,1,9103000,-8.458716431508243,12412.780754333202
R32,R1234ZEE,0.33512,0.66488,284.997,12.96,692.554,0.045,0.002,0.005,0.033,16,12,2022 row per 0,1,12960000,-8.566305760293629,12421.365042256553
R32,R1234ZEE,0.33512,0.66488,290.0,16.788,699.715,0.044,0.001,0.002,0.013,16,12,2022 row per 0,1,16788000,-8.67314134112907,12427.864360519226
R32,R1234ZEE,0.33512,0.66488,294.995,20.589,706.656,0.042,0.001,0.001,0.009,16,12,2022 row per 0,1,20589000,-8.77898323228596,12433.045265093862
R32,R1234ZEE,0.33512,0.66488,299.995,24.349,713.307,0.042,0.002,0.009,0.068,16,12,2022 row per 0,1,24349000,-8.884100566818658,12436.287298368616
R32,R1234ZEE,0.33512,0.66488,304.995,28.099,719.83,0.041,0.001,0.007,0.041,16,12,2022 row per 0,1,28099000,-8.988379205650281,12439.094724062892
R32,R1234ZEE,0.33512,0.66488,310.0,31.864,726.389,0.04,0.001,0.013,0.068,16,12,2022 row per 0,1,31864000,-9.091913790592207,12442.281669509666
R32,R1234ZEE,0.33512,0.66488,314.994,35.654,733.098,0.039,0.002,0.002,0.015,16,12,2022 row per 0,1,35654000,-9.194366059394836,12446.55064932762
